"date","commodity","price","Reference","beginning_stocks_usda","crush_usda","domestic_consumption_usda","ending_stocks_usda","exports_usda","feed_waste_dom_cons_usda","food_use_dom_cons_usda","imports_usda","industrial_dom_cons_usda","production_usda","total_distribution_usda","total_Supply_usda"
"2021-12-31","Sunflower",1361.831,"World",144.92,4182.5,1649.5,155.5,1014,7,1556.08,914.75,86.42,1759.33,2819,2819
"2021-11-30","Sunflower",1415.617,"World",150.61,4149.3,1640.21,154.62,1007.56,6.96,1547.33,906.35,85.92,1745.42,2802.38,2802.38
"2021-10-31","Sunflower",1420.528,"World",156.31,4116.1,1630.92,153.74,1001.11,6.92,1538.58,897.94,85.42,1731.51,2785.76,2785.76
"2021-09-30","Sunflower",1309.519,"World",162,4082.9,1621.62,152.85,994.67,6.88,1529.83,889.54,84.92,1717.6,2769.15,2769.15
"2021-08-31","Sunflower",1355.691,"World",167.69,4049.69,1612.33,151.97,988.22,6.83,1521.08,881.14,84.42,1703.69,2752.53,2752.53
"2021-07-31","Sunflower",1282.012,"World",173.39,4016.49,1603.04,151.09,981.78,6.79,1512.33,872.74,83.92,1689.78,2735.91,2735.91
"2021-06-30","Sunflower",1296.748,"World",179.08,3983.29,1593.75,150.21,975.33,6.75,1503.58,864.33,83.42,1675.88,2719.29,2719.29
"2021-05-31","Sunflower",1584.587,"World",184.78,3950.09,1584.46,149.33,968.89,6.71,1494.83,855.93,82.92,1661.97,2702.67,2702.67
"2021-04-30","Sunflower",1572.798,"World",190.47,3916.89,1575.17,148.44,962.44,6.67,1486.08,847.53,82.42,1648.06,2686.06,2686.06
"2021-03-31","Sunflower",1611.111,"World",196.17,3883.69,1565.88,147.56,956,6.62,1477.33,839.12,81.92,1634.15,2669.44,2669.44
"2021-02-28","Sunflower",1362.568,"World",201.86,3850.49,1556.58,146.68,949.56,6.58,1468.58,830.72,81.42,1620.24,2652.82,2652.82
"2021-01-31","Sunflower",1276.118,"World",207.56,3817.28,1547.29,145.8,943.11,6.54,1459.83,822.32,80.92,1606.33,2636.2,2636.2
"2020-12-31","Sunflower",1170.02,"World",213.25,3784.08,1538,144.92,936.67,6.5,1451.08,813.92,80.42,1592.42,2619.58,2619.58
"2020-11-30","Sunflower",1109.112,"World",209.97,3811.9,1541.31,150.61,952.17,6.53,1454.54,827.6,80.23,1606.51,2644.08,2644.08
"2020-10-31","Sunflower",981.402,"World",206.69,3839.71,1544.61,156.31,967.67,6.57,1458,841.28,80.04,1620.61,2668.58,2668.58
"2020-09-30","Sunflower",982.385,"World",203.42,3867.52,1547.92,162,983.17,6.6,1461.46,854.96,79.85,1634.71,2693.08,2693.08
"2020-08-31","Sunflower",877.14,"World",200.14,3895.33,1551.22,167.69,998.67,6.64,1464.92,868.64,79.67,1648.81,2717.58,2717.58
"2020-07-31","Sunflower",833.17,"World",196.86,3923.15,1554.53,173.39,1014.17,6.67,1468.38,882.32,79.48,1662.9,2742.08,2742.08
"2020-06-30","Sunflower",788.36,"World",193.58,3950.96,1557.83,179.08,1029.67,6.71,1471.83,896,79.29,1677,2766.58,2766.58
"2020-05-31","Sunflower",738.26,"World",190.31,3978.77,1561.14,184.78,1045.17,6.74,1475.29,909.68,79.1,1691.1,2791.08,2791.08
"2020-04-30","Sunflower",732.1,"World",187.03,4006.58,1564.44,190.47,1060.67,6.78,1478.75,923.36,78.92,1705.19,2815.58,2815.58
"2020-03-31","Sunflower",730,"World",183.75,4034.4,1567.75,196.17,1076.17,6.81,1482.21,937.04,78.73,1719.29,2840.08,2840.08
"2020-02-29","Sunflower",823,"World",180.47,4062.21,1571.06,201.86,1091.67,6.85,1485.67,950.72,78.54,1733.39,2864.58,2864.58
"2020-01-31","Sunflower",806.91,"World",177.19,4090.02,1574.36,207.56,1107.17,6.88,1489.12,964.4,78.35,1747.49,2889.08,2889.08
"2019-12-31","Sunflower",776,"World",173.92,4117.83,1577.67,213.25,1122.67,6.92,1492.58,978.08,78.17,1761.58,2913.58,2913.58
"2019-11-30","Sunflower",776,"World",176.46,4098.13,1571.95,209.97,1109,6.85,1486.93,963.57,78.17,1750.9,2890.92,2890.92
"2019-10-31","Sunflower",776,"World",179,4078.43,1566.24,206.69,1095.33,6.79,1481.28,949.06,78.17,1740.21,2868.26,2868.26
"2019-09-30","Sunflower",776,"World",181.54,4058.73,1560.52,203.42,1081.67,6.73,1475.62,934.54,78.17,1729.52,2845.6,2845.6
"2019-08-31","Sunflower",776,"World",184.08,4039.03,1554.81,200.14,1068,6.67,1469.97,920.03,78.17,1718.83,2822.94,2822.94
"2019-07-31","Sunflower",753.83,"World",186.62,4019.33,1549.09,196.86,1054.33,6.6,1464.32,905.51,78.17,1708.15,2800.28,2800.28
"2019-06-30","Sunflower",725,"World",189.17,3999.62,1543.38,193.58,1040.67,6.54,1458.67,891,78.17,1697.46,2777.62,2777.62
"2019-05-31","Sunflower",721.57,"World",191.71,3979.92,1537.66,190.31,1027,6.48,1453.01,876.49,78.17,1686.77,2754.97,2754.97
"2019-04-30","Sunflower",713,"World",194.25,3960.22,1531.94,187.03,1013.33,6.42,1447.36,861.97,78.17,1676.08,2732.31,2732.31
"2019-03-31","Sunflower",711.71,"World",196.79,3940.52,1526.23,183.75,999.67,6.35,1441.71,847.46,78.17,1665.4,2709.65,2709.65
"2019-02-28","Sunflower",700,"World",199.33,3920.82,1520.51,180.47,986,6.29,1436.06,832.94,78.17,1654.71,2686.99,2686.99
"2019-01-31","Sunflower",688.13,"World",201.88,3901.12,1514.8,177.19,972.33,6.23,1430.4,818.43,78.17,1644.02,2664.33,2664.33
"2018-12-31","Sunflower",703,"World",204.42,3881.42,1509.08,173.92,958.67,6.17,1424.75,803.92,78.17,1633.33,2641.67,2641.67
"2018-11-30","Sunflower",706.09,"World",204.82,3865.04,1504.6,176.46,950.47,6.23,1420.44,800.47,77.94,1626.24,2631.53,2631.53
"2018-10-31","Sunflower",718.04,"World",205.22,3848.67,1500.12,179,942.26,6.29,1416.12,797.03,77.71,1619.14,2621.39,2621.39
"2018-09-30","Sunflower",733.95,"World",205.62,3832.29,1495.65,181.54,934.06,6.35,1411.81,793.58,77.48,1612.04,2611.25,2611.25
"2018-08-31","Sunflower",763.23,"World",206.03,3815.92,1491.17,184.08,925.86,6.42,1407.5,790.14,77.25,1604.94,2601.11,2601.11
"2018-07-31","Sunflower",780.05,"World",206.43,3799.54,1486.69,186.62,917.66,6.48,1403.19,786.69,77.02,1597.85,2590.97,2590.97
"2018-06-30","Sunflower",775,"World",206.83,3783.17,1482.21,189.17,909.46,6.54,1398.88,783.25,76.79,1590.75,2580.83,2580.83
"2018-05-31","Sunflower",801.32,"World",207.24,3766.79,1477.73,191.71,901.26,6.6,1394.56,779.81,76.56,1583.65,2570.69,2570.69
"2018-04-30","Sunflower",799.33,"World",207.64,3750.42,1473.25,194.25,893.06,6.67,1390.25,776.36,76.33,1576.56,2560.56,2560.56
"2018-03-31","Sunflower",800.91,"World",208.04,3734.04,1468.77,196.79,884.85,6.73,1385.94,772.92,76.1,1569.46,2550.42,2550.42
"2018-02-28","Sunflower",806,"World",208.44,3717.67,1464.29,199.33,876.65,6.79,1381.62,769.47,75.88,1562.36,2540.28,2540.28
"2018-01-31","Sunflower",799.04,"World",208.85,3701.29,1459.81,201.88,868.45,6.85,1377.31,766.03,75.65,1555.26,2530.14,2530.14
"2017-12-31","Sunflower",800.76,"World",209.25,3684.92,1455.33,204.42,860.25,6.92,1373,762.58,75.42,1548.17,2520,2520
"2017-11-30","Sunflower",809.86,"World",206.33,3679.12,1448.2,204.82,863.25,6.86,1366.1,763.7,75.24,1546.24,2516.27,2516.27
"2017-10-31","Sunflower",804.82,"World",203.42,3673.33,1441.07,205.22,866.25,6.81,1359.19,764.82,75.07,1544.31,2512.54,2512.54
"2017-09-30","Sunflower",822.24,"World",200.5,3667.54,1433.94,205.62,869.25,6.75,1352.29,765.94,74.9,1542.38,2508.81,2508.81
"2017-08-31","Sunflower",815.74,"World",197.58,3661.75,1426.81,206.03,872.25,6.69,1345.39,767.06,74.72,1540.44,2505.08,2505.08
"2017-07-31","Sunflower",793,"World",194.67,3655.96,1419.67,206.43,875.25,6.64,1338.49,768.17,74.55,1538.51,2501.35,2501.35
"2017-06-30","Sunflower",794.36,"World",191.75,3650.17,1412.54,206.83,878.25,6.58,1331.58,769.29,74.38,1536.58,2497.62,2497.62
"2017-05-31","Sunflower",795,"World",188.83,3644.38,1405.41,207.24,881.25,6.53,1324.68,770.41,74.2,1534.65,2493.9,2493.9
"2017-04-30","Sunflower",797.67,"World",185.92,3638.58,1398.28,207.64,884.25,6.47,1317.78,771.53,74.03,1532.72,2490.17,2490.17
"2017-03-31","Sunflower",835.17,"World",183,3632.79,1391.15,208.04,887.25,6.42,1310.88,772.65,73.85,1530.79,2486.44,2486.44
"2017-02-28","Sunflower",873,"World",180.08,3627,1384.01,208.44,890.25,6.36,1303.97,773.76,73.68,1528.86,2482.71,2482.71
"2017-01-31","Sunflower",873,"World",177.17,3621.21,1376.88,208.85,893.25,6.31,1297.07,774.88,73.51,1526.93,2478.98,2478.98
"2016-12-31","Sunflower",873,"World",174.25,3615.42,1369.75,209.25,896.25,6.25,1290.17,776,73.33,1525,2475.25,2475.25
"2016-11-30","Sunflower",873,"World",177.35,3570.03,1360.81,205.75,878.34,6.22,1281.49,762.22,73.1,1505.34,2444.9,2444.9
"2016-10-31","Sunflower",873,"World",180.44,3524.64,1351.88,202.25,860.43,6.18,1272.82,748.43,72.88,1485.68,2414.56,2414.56
"2016-09-30","Sunflower",865.73,"World",183.54,3479.25,1342.94,198.75,842.52,6.15,1264.15,734.65,72.65,1466.02,2384.21,2384.21
"2016-08-31","Sunflower",830.35,"World",186.64,3433.86,1334,195.25,824.61,6.11,1255.47,720.86,72.42,1446.36,2353.86,2353.86
"2016-07-31","Sunflower",832.86,"World",189.74,3388.47,1325.06,191.75,806.7,6.08,1246.8,707.08,72.19,1426.7,2323.51,2323.51
"2016-06-30","Sunflower",860.23,"World",192.83,3343.08,1316.12,188.25,788.79,6.04,1238.12,693.29,71.96,1407.04,2293.17,2293.17
"2016-05-31","Sunflower",881,"World",195.93,3297.69,1307.19,184.75,770.88,6.01,1229.45,679.51,71.73,1387.38,2262.82,2262.82
"2016-04-30","Sunflower",875.95,"World",199.03,3252.31,1298.25,181.25,752.97,5.97,1220.78,665.72,71.5,1367.72,2232.47,2232.47
"2016-03-31","Sunflower",859.19,"World",202.12,3206.92,1289.31,177.75,735.06,5.94,1212.1,651.94,71.27,1348.06,2202.12,2202.12
"2016-02-29","Sunflower",898.19,"World",205.22,3161.53,1280.38,174.25,717.15,5.9,1203.43,638.15,71.04,1328.4,2171.78,2171.78
"2016-01-31","Sunflower",885.35,"World",208.32,3116.14,1271.44,170.75,699.24,5.87,1194.76,624.37,70.81,1308.74,2141.43,2141.43
"2015-12-31","Sunflower",898.18,"World",211.42,3070.75,1262.5,167.25,681.33,5.83,1186.08,610.58,70.58,1289.08,2111.08,2111.08
"2015-11-30","Sunflower",915.24,"World",214.28,3062.97,1256.42,170.93,676.25,5.84,1180.8,603.68,69.78,1285.65,2103.6,2103.6
"2015-10-31","Sunflower",961.59,"World",217.14,3055.18,1250.35,174.61,671.17,5.85,1175.51,596.78,68.99,1282.21,2096.12,2096.12
"2015-09-30","Sunflower",896.82,"World",220,3047.4,1244.27,178.29,666.08,5.85,1170.23,589.88,68.19,1278.77,2088.65,2088.65
"2015-08-31","Sunflower",894.75,"World",222.86,3039.61,1238.19,181.97,661,5.86,1164.94,582.97,67.39,1275.33,2081.17,2081.17
"2015-07-31","Sunflower",917.39,"World",225.72,3031.83,1232.12,185.65,655.92,5.87,1159.66,576.07,66.59,1271.9,2073.69,2073.69
"2015-06-30","Sunflower",927.95,"World",228.58,3024.04,1226.04,189.33,650.83,5.88,1154.38,569.17,65.79,1268.46,2066.21,2066.21
"2015-05-31","Sunflower",916.05,"World",231.44,3016.26,1219.97,193.01,645.75,5.88,1149.09,562.26,64.99,1265.02,2058.73,2058.73
"2015-04-30","Sunflower",833.5,"World",234.31,3008.47,1213.89,196.69,640.67,5.89,1143.81,555.36,64.19,1261.58,2051.25,2051.25
"2015-03-31","Sunflower",804.55,"World",237.17,3000.69,1207.81,200.38,635.58,5.9,1138.52,548.46,63.4,1258.15,2043.77,2043.77
"2015-02-28","Sunflower",825,"World",240.03,2992.9,1201.74,204.06,630.5,5.9,1133.24,541.56,62.6,1254.71,2036.29,2036.29
"2015-01-31","Sunflower",870.71,"World",242.89,2985.12,1195.66,207.74,625.42,5.91,1127.95,534.65,61.8,1251.27,2028.81,2028.81
"2014-12-31","Sunflower",900.95,"World",245.75,2977.33,1189.58,211.42,620.33,5.92,1122.67,527.75,61,1247.83,2021.33,2021.33
"2014-11-30","Sunflower",922.75,"World",241.06,2986.52,1189.35,214.28,622.65,5.98,1122.38,532.71,61,1252.51,2026.28,2026.28
"2014-10-31","Sunflower",888.26,"World",236.38,2995.71,1189.12,217.14,624.96,6.04,1122.08,537.67,61,1257.18,2031.22,2031.22
"2014-09-30","Sunflower",834.09,"World",231.69,3004.9,1188.9,220,627.27,6.1,1121.79,542.62,61,1261.85,2036.17,2036.17
