md5,DATE,PIX_CHINA_BHKP_NET_USDT,PIX_CHINA_NBSK_NET_USDT,year,month,day,quarter,week,weekday,datasource,ingestion_date
2d37cf8996c9720ce8a6fb0253ef9bd9,2017-04-04T00:00:00Z,592.08,647.76,2017,4,4,2,14,Tuesday,foex,2022-01-20T17:26:52.151Z
a902dbdce318fc04ab2cdbfc23383b77,2017-04-11T00:00:00Z,598.47,644.48,2017,4,11,2,15,Tuesday,foex,2022-01-20T17:26:52.151Z
aca5dc4e1bb75c2afa1973ac3a2b88d6,2017-04-18T00:00:00Z,600.08,642.52,2017,4,18,2,16,Tuesday,foex,2022-01-20T17:26:52.151Z
0ddc73bf4938cbf98411d7bfdabf02b6,2017-04-25T00:00:00Z,610.29,646.2,2017,4,25,2,17,Tuesday,foex,2022-01-20T17:26:52.151Z
58c2c32c2ace5c41f658aca3f814ebd7,2017-05-02T00:00:00Z,613.88,647.22,2017,5,2,2,18,Tuesday,foex,2022-01-20T17:26:52.151Z
bd8757498aeff45f479463cec823a1dc,2017-05-09T00:00:00Z,616.86,647.19,2017,5,9,2,19,Tuesday,foex,2022-01-20T17:26:52.151Z
a9a7a81d6970308ed0a4d9d6069aefe7,2017-05-16T00:00:00Z,618.44,646.98,2017,5,16,2,20,Tuesday,foex,2022-01-20T17:26:52.151Z
739749f96f86802971a9532601b5189a,2017-05-23T00:00:00Z,619.26,647.03,2017,5,23,2,21,Tuesday,foex,2022-01-20T17:26:52.151Z
a229f1bfaaba382ea61e2d4cb298aa8a,2017-05-30T00:00:00Z,634.17,650.82,2017,5,30,2,22,Tuesday,foex,2022-01-20T17:26:52.151Z
82d2cd6575f94ce030a8d7cab3884ba1,2017-06-06T00:00:00Z,633.37,648.51,2017,6,6,2,23,Tuesday,foex,2022-01-20T17:26:52.151Z
085e3f942af1feeba5716725f62a17d9,2017-06-13T00:00:00Z,634.96,644.92,2017,6,13,2,24,Tuesday,foex,2022-01-20T17:26:52.151Z
72951d8953607fd0a544b16d494597a1,2017-06-20T00:00:00Z,633.95,639.9,2017,6,20,2,25,Tuesday,foex,2022-01-20T17:26:52.151Z
69ca5bce32ad3001328ac77345a5b42c,2017-06-27T00:00:00Z,630.39,630.03,2017,6,27,2,26,Tuesday,foex,2022-01-20T17:26:52.151Z
55ce53e7d0077620d58416ad057068f0,2017-07-04T00:00:00Z,630.2,628.28,2017,7,4,3,27,Tuesday,foex,2022-01-20T17:26:52.151Z
5d10df0da9f2b467da310afa18c15035,2017-07-11T00:00:00Z,629.92,627.82,2017,7,11,3,28,Tuesday,foex,2022-01-20T17:26:52.151Z
