DATE,CHINA_BHKP_PIX_PRICE
1/5/2010,662.09
1/12/2010,683.75
1/19/2010,685.85
1/26/2010,691.14
2/2/2010,694.93
2/9/2010,718.43
2/16/2010,720
2/23/2010,720
3/2/2010,722.86
3/9/2010,735.15
3/16/2010,754.09
3/23/2010,773.2
3/30/2010,782.4
4/6/2010,782.2
4/13/2010,800.11
4/20/2010,800.19
4/27/2010,810.72
5/4/2010,826.29
5/11/2010,836.17
5/18/2010,845.51
5/25/2010,846.88
6/1/2010,843.43
6/8/2010,843.99
6/15/2010,846.29
6/22/2010,842.79
6/29/2010,840.38
7/6/2010,842.75
7/13/2010,834.99
7/20/2010,823.85
7/27/2010,822.21
8/3/2010,820.42
8/10/2010,794.99
8/17/2010,787.71
8/24/2010,783.2
8/31/2010,782.13
9/7/2010,784.8
9/14/2010,787.46
9/21/2010,786.52
9/28/2010,785.63
10/5/2010,778.22
10/12/2010,776.13
10/19/2010,770.65
10/26/2010,767.15
11/2/2010,767.41
11/9/2010,763
11/16/2010,762.41
11/23/2010,755.61
11/30/2010,750.37
12/7/2010,750.17
12/14/2010,747.31
12/21/2010,745.23
12/28/2010,742.71
1/4/2011,742.86
1/11/2011,743.66
1/18/2011,743.81
1/25/2011,743.4
2/1/2011,743.04
2/8/2011,742.55
2/15/2011,745.82
2/22/2011,747.12
3/1/2011,745.61
3/8/2011,743.63
3/15/2011,743.95
3/22/2011,745.9
3/29/2011,743.99
4/5/2011,748.02
4/12/2011,756.79
4/19/2011,761.13
4/26/2011,765.83
5/3/2011,766.81
5/10/2011,764.62
5/17/2011,765.81
5/24/2011,761.63
5/31/2011,760.18
6/7/2011,760.16
6/14/2011,757.71
6/21/2011,753.62
6/28/2011,746.35
7/5/2011,739.44
7/12/2011,721.34
7/19/2011,718.43
7/26/2011,717.32
8/2/2011,704.4
8/9/2011,690
8/16/2011,689.12
8/23/2011,685.86
8/30/2011,680.63
9/6/2011,680.12
9/13/2011,679.12
9/20/2011,679.98
9/27/2011,667.91
10/4/2011,653.12
10/11/2011,654.2
10/18/2011,643.38
10/25/2011,637.06
11/1/2011,608.19
11/8/2011,599.43
11/15/2011,582.5
11/22/2011,573.12
11/29/2011,572.76
12/7/2011,565.31
12/13/2011,562.84
12/20/2011,557.02
12/27/2011,562.53
1/3/2012,562.22
1/10/2012,568.68
1/17/2012,574.79
1/24/2012,575
1/31/2012,580.04
2/7/2012,591.05
2/14/2012,597.82
2/21/2012,600.15
2/28/2012,606.04
3/6/2012,620.6
3/13/2012,626.8
3/20/2012,633.82
3/27/2012,635.01
4/3/2012,640.14
4/10/2012,650.2
4/17/2012,654.13
4/24/2012,654.85
5/1/2012,658.92
5/8/2012,659.1
5/15/2012,664.11
5/22/2012,665.6
5/29/2012,668.24
6/5/2012,670.75
6/12/2012,665.68
6/19/2012,665.05
6/26/2012,663.38
7/3/2012,659.91
7/10/2012,658.31
7/17/2012,649.06
7/24/2012,647.71
7/31/2012,640.08
8/7/2012,644.14
